,hotel_link,hotel_link-href,review_count,hotel_name
1122,Medewi Bay Retreat,https://www.tripadvisor.co.id/Hotel_Review-g1234719-d1198466-Reviews-or5-Medewi_Bay_Retreat-Pekutatan_Bali.html,184,medewi_bay_retr
1140,Kusuma Resort,https://www.tripadvisor.co.id/Hotel_Review-g469404-d2096488-Reviews-or5-Kusuma_Resort-Seminyak_Kuta_District_Bali.html,108,kusuma_resort
1143,The Peacock Inn,https://www.tripadvisor.co.id/Hotel_Review-g297701-d9787594-Reviews-or5-The_Peacock_Inn-Ubud_Gianyar_Regency_Bali.html,100,the_peacock_inn
1153,Merthayasa Bungalows,https://www.tripadvisor.co.id/Hotel_Review-g297701-d1238245-Reviews-or5-Merthayasa_Bungalows-Ubud_Gianyar_Regency_Bali.html,110,merthayasa_bung
1158,Bali Segara Hotel,https://www.tripadvisor.co.id/Hotel_Review-g297697-d1163138-Reviews-or5-Bali_Segara_Hotel-Kuta_Kuta_District_Bali.html,118,bali_segara_hot
1161,Villa Diana Bali,https://www.tripadvisor.co.id/Hotel_Review-g608487-d653658-Reviews-or5-Villa_Diana_Bali-Legian_Kuta_District_Bali.html,301,villa_diana_bal
1172,Hotel Sinar Bali,https://www.tripadvisor.co.id/Hotel_Review-g608487-d643838-Reviews-or5-Hotel_Sinar_Bali-Legian_Kuta_District_Bali.html,113,hotel_sinar_bal
1178,The Spot Legian,https://www.tripadvisor.co.id/Hotel_Review-g608487-d3168128-Reviews-or5-The_Spot_Legian-Legian_Kuta_District_Bali.html,151,the_spot_legian
1179,Sawah Sunrise Bed & Breakfast,https://www.tripadvisor.co.id/Hotel_Review-g297701-d1572316-Reviews-or5-Sawah_Sunrise_Bed_Breakfast-Ubud_Gianyar_Regency_Bali.html,106,sawah_sunrise_b
1180,Ojek's Homestay,https://www.tripadvisor.co.id/Hotel_Review-g297701-d6540765-Reviews-or5-Ojek_s_Homestay-Ubud_Gianyar_Regency_Bali.html,206,ojek's_homestay
1192,Nick's Homestay,https://www.tripadvisor.co.id/Hotel_Review-g297701-d649039-Reviews-or5-Nick_s_Homestay-Ubud_Gianyar_Regency_Bali.html,130,nick's_homestay
1194,Premier Surf Camp,https://www.tripadvisor.co.id/Hotel_Review-g311298-d3339600-Reviews-or5-Premier_Surf_Camp-Canggu_North_Kuta_Bali.html,127,premier_surf_ca
1201,Serela Kuta,https://www.tripadvisor.co.id/Hotel_Review-g297697-d2328708-Reviews-or5-Serela_Kuta-Kuta_Kuta_District_Bali.html,149,serela_kuta
1210,Abangan Bungalow,https://www.tripadvisor.co.id/Hotel_Review-g297701-d678622-Reviews-or5-Abangan_Bungalow-Ubud_Gianyar_Regency_Bali.html,128,abangan_bungalo
1214,Waringin Home Stay,https://www.tripadvisor.co.id/Hotel_Review-g297697-d2244618-Reviews-or5-Waringin_Home_Stay-Kuta_Kuta_District_Bali.html,111,waringin_home_s
1221,Artini 3 Cottages,https://www.tripadvisor.co.id/Hotel_Review-g297695-d647119-Reviews-or5-Artini_3_Cottages-Gianyar_Gianyar_Regency_Bali.html,150,artini_3_cottag
